codigo_SGO,Identificacao_OAE,UF,Rodovia_(BR),km,Extensao_(m),Largura_(m),Tipo_Estrutura,Latitude,Longitude,Nota_Atual_SGO_(2021),Visita_SR_(Data_Realizada),Data_Inspecao_Realizada,Visita_na_OAE,Faixa_Extensao_OAE,Corredor,Obs.:,Tipo_Inspecao 
20190,Ponte sobre o Córrego Acaba Saco,PA,158,"598,31","21","8,6",Mista (viga metálica e laje de concreto),-8.03673333,-50.11436667,"3",19/03/2026,,,OAE<=20m (A1),9,,InR
20191,Ponte sobre o Igarapé São Benedito I,PA,158,"624,42","21,5","8,6",Mista (viga metálica e laje de concreto),-8.17926667,-50.2473,"4",19/03/2026,,,OAE<=20m (A1),9,,InR
20192,Ponte sobre o Rio Arraias,PA,158,"632,88","48,7","8,6",Mista (viga metálica e laje de concreto),-8.23573333,-50.29665,"4",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20201,"Ponte sobre o Igarapé Eng, Laércio",PA,158,"888,21","21,5","10,2",Mista (viga metálica e laje de concreto),-9.74393333,-51.0091,"4",19/03/2026,,,OAE<=20m (A1),9,,InR
20237,Ponte sobre o Igarapé São Benedito II,PA,158,"625,76","24,5","8,6",Mista (viga metálica e laje de concreto),-8.18808333,-50.25543333,"4",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20238,Ponte sobre Ribeirão Araras,PA,158,"654,53","41,5","3,4",Viga de concreto protendido,-8.41638333,-50.36616667,"2",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20239,Ponte sobre Igarapé Gama,PA,158,"844,52","21,35","10,2",Mista (viga metálica e laje de concreto),-9.53113333,-50.76093333,"4",19/03/2026,,,OAE<=20m (A1),9,,InR
20252,Ponte sobre o Igarapé Jacaré,PA,158,"689,05","24,8","8,7",Viga de concreto protendido,-8.69351667,-50.44266667,"4",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20254,"Ponte km 853,35",PA,158,"853,35","18,5","10,2",Mista (viga metálica e laje de concreto),-9.52643333,-50.841,"3",19/03/2026,,,OAE<=20m (A1),9,,InR
20442,Ponte sobre o Rio Maritaca,PA,158,"871,25","15,2","14",Não informado,-9.663202,-50.893245,"-",19/03/2026,,,OAE<=20m (A1),9,,InCR
20467,Ponte,PA,158,"-","50","12",Não informado,-8.23376,-50.2953,"-",19/03/2026,,,20<OAE<=60m (A2),9,,InCR
20473,Ponte,PA,158,"-","55","12",Não informado,-8.28008,-50.3136,"-",19/03/2026,,,20<OAE<=60m (A2),9,,InCR
149,OAE,PA,158,"0","63","0","0",-8.19928,-50.2657,"-",,,,60>OAE<=120m (A3),9,OAE em rodovia federal - verificar com fiscalização,InCR
20089,"Ponte km 548,96",PA,230,"548,96","36,55","12",Viga de concreto protendido,-3.18575,-51.55051667,"3",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20090,"Ponte km 556,55",PA,230,"556,55","36,6","12",Viga de concreto protendido,-3.13496667,-51.59168333,"3",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20091,Ponte sobre o Igarapé São João,PA,230,"516,55","51,5","12,8",Viga de concreto protendido,-3.36166667,-51.33533333,"4",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20092,Ponte sobre o Igarapé Pilão,PA,230,"508,09","48","12,8",Viga de concreto protendido,-3.4049,-51.27691667,"4",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20095,Ponte sobre a Grota Aturiá,PA,230,"577,58","36","12,85",Viga de concreto protendido,-3.12608333,-51.75023333,"3",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20105,"Ponte km 488,04",PA,230,"488,04","54,2","12",Viga de concreto armado,-3.52201667,-51.15305,"4",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20107,Ponte sobre o Rio Anapu,PA,230,"495,63","141,4","14,3",Mista (viga metálica e laje de concreto),-3.47468333,-51.1962,"4",19/03/2026,,,120<OAE<=500m (A4),14,,InR
20114,"Ponte km 562,53",PA,230,"562,53","40,5","12,8",Viga de concreto protendido,-3.10863333,-51.63536667,"4",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20115,Ponte sobre o Rio Paraná,PA,230,"563,34","36","12",Viga de concreto armado,-3.10546667,-51.64131667,"4",19/03/2026,,,20<OAE<=60m (A2),14,,InR
20037,Ponte sobre o Rio Ararandeua,PA,222,"103,47","16,3","10,06",Mista (viga metálica e laje de concreto),-4.76906667,-48.06066667,"4",19/03/2026,,,OAE<=20m (A1),6,,InR
20038,Ponte sobre o Igarapé Noventa e Cinco,PA,222,"113,03","31,6","10,02",Mista (viga metálica e laje de concreto),-4.80578333,-48.13385,"2",19/03/2026,,,20<OAE<=60m (A2),6,,InR
20039,Ponte sobre o Córrego Boa Esperança,PA,222,"164,05","16,3","10",Mista (viga metálica e laje de concreto),-5.01725,-48.52498333,"4",19/03/2026,,,OAE<=20m (A1),6,,InR
20040,Ponte sobre o Rio Jacunda,PA,222,"186,61","31,6","10,05",Mista (viga metálica e laje de concreto),-5.08986667,-48.71626667,"3",19/03/2026,,,20<OAE<=60m (A2),6,,InR
20041,Ponte sobre o Rio Jacundazinho I,PA,222,"201,01","28,5","10",Mista (viga metálica e laje de concreto),-5.13756667,-48.83635,"4",19/03/2026,,,20<OAE<=60m (A2),6,,InR
20042,Ponte sobre o Rio Jacundazinho II,PA,222,"201,49","62,2","10",Mista (viga metálica e laje de concreto),-5.13711667,-48.84071667,"2",19/03/2026,,,60>OAE<=120m (A3),6,,InR
20043,Ponte sobre o Igarapé Mãe Maria,PA,222,"213,42","11,8","9,8",Mista (viga metálica e laje de concreto),-5.16756667,-48.94073333,"4",19/03/2026,,,OAE<=20m (A1),6,,InR
20044,Ponte sobre o Rio Frecheira,PA,222,"222,61","37,5","10",Mista (viga metálica e laje de concreto),-5.19791667,-49.01541667,"4",19/03/2026,,,20<OAE<=60m (A2),6,,InR
20094,Ponte sobre o Rio Mãe Maria,PA,222,"208,37","26,8","9,8",Mista (viga metálica e laje de concreto),-5.15745,-48.89798333,"4",19/03/2026,,,20<OAE<=60m (A2),6,,InR
20096,Ponte sobre o Córrego dos Pebas,PA,222,"108,2","22,14","9,8",Mista (viga metálica e laje de concreto),-4.78536667,-48.09678333,"4",19/03/2026,,,20<OAE<=60m (A2),6,,InR
20045,"Viaduto km 119,47",PA,230,"119,47","20","22",Viga de concreto protendido,-5.35035,-49.10986667,"4",19/03/2026,,,OAE<=20m (A1),11,,InR
