NOME;LONGITUDE;LATITUDE;MAIS_SECO
SERRA DO NAVIO;-52,001389;0,900556;SETEMBRO-OUTUBRO-NOVEMBRO
APOREMA;-50,896389;1,226667;SETEMBRO-OUTUBRO-NOVEMBRO
ITAUBAL DO AMAP-;-50,9025;1,580556;SETEMBRO-OUTUBRO-NOVEMBRO
APALAI;-54,656111;1,220278;SETEMBRO-OUTUBRO-NOVEMBRO
CALCOENE;-50,950833;2,495556;AGOSTO-SETEMBRO-OUTUBRO
AMAP-;-50,788056;2,054722;SETEMBRO-OUTUBRO-NOVEMBRO
CUNANI;-51,361389;2,698333;SETEMBRO-OUTUBRO-NOVEMBRO
CLEVEL-NDIA - OIAPOQUE;-51,831111;3,8425;AGOSTO-SETEMBRO-OUTUBRO
CAMOCIM;-40,833333;-2,916667;SETEMBRO-OUTUBRO-NOVEMBRO
ARANA+;-40,216667;-2,816667;SETEMBRO-OUTUBRO-NOVEMBRO
PACATUBA;-38,616667;-3,983333;SETEMBRO-OUTUBRO-NOVEMBRO
AQUIRAZ;-38,383333;-3,9;SETEMBRO-OUTUBRO-NOVEMBRO
CAUCAIA;-38,683333;-3,75;SETEMBRO-OUTUBRO-NOVEMBRO
UMARITUBA  NOVA;-38,9825;-3,670556;SETEMBRO-OUTUBRO-NOVEMBRO
MARANGUAPE;-38,666667;-3,9;SETEMBRO-OUTUBRO-NOVEMBRO
FUNCEME;-38,566667;-3,733333;SETEMBRO-OUTUBRO-NOVEMBRO
AMONTADA (SUDENE);-39,833611;-3,364167;SETEMBRO-OUTUBRO-NOVEMBRO
PENTECOSTE;-39,266667;-3,783333;SETEMBRO-OUTUBRO-NOVEMBRO
MIRAIMA;-39,966667;-3,566667;AGOSTO-SETEMBRO-OUTUBRO
S+O LU-S DO CURU;-39,2425;-3,8075;SETEMBRO-OUTUBRO-NOVEMBRO
TRAIRI;-39,25;-3,283333;SETEMBRO-OUTUBRO-NOVEMBRO
URUBURETAMA;-39,55;-3,616667;SETEMBRO-OUTUBRO-NOVEMBRO
PARACURU;-39,033333;-3,416667;SETEMBRO-OUTUBRO-NOVEMBRO
PARAIPABA;-39,166667;-3,4;SETEMBRO-OUTUBRO-NOVEMBRO
IRAUÃUBA;-39,75;-3,733333;SETEMBRO-OUTUBRO-NOVEMBRO
FORQUILHA;-40,25;-3,8;AGOSTO-SETEMBRO-OUTUBRO
CARIRE;-40,466667;-3,95;AGOSTO-SETEMBRO-OUTUBRO
FRECHEIRINHA;-40,816667;-3,766667;AGOSTO-SETEMBRO-OUTUBRO
GRANJA;-40,833333;-3,133333;AGOSTO-SETEMBRO-OUTUBRO
IBIAPINA;-40,883333;-3,916667;AGOSTO-SETEMBRO-OUTUBRO
MARCO;-40,15;-3,15;AGOSTO-SETEMBRO-OUTUBRO
MUCAMBO;-40,766667;-3,9;AGOSTO-SETEMBRO-OUTUBRO
TIANGU-;-40,983333;-3,733333;AGOSTO-SETEMBRO-OUTUBRO
UBAJARA;-40,916667;-3,85;AGOSTO-SETEMBRO-OUTUBRO
SANTANA DO ACARA+;-40,2;-3,466667;SETEMBRO-OUTUBRO-NOVEMBRO
URUOCA;-40,566667;-3,316667;AGOSTO-SETEMBRO-OUTUBRO
MASSAP-;-40,333333;-3,533333;AGOSTO-SETEMBRO-OUTUBRO
SOBRAL;-40,341389;-3,688889;AGOSTO-SETEMBRO-OUTUBRO
BELA CRUZ;-40,168333;-3,0575;AGOSTO-SETEMBRO-OUTUBRO
COREAU;-40,65;-3,566667;AGOSTO-SETEMBRO-OUTUBRO
MORAUJO;-40,683333;-3,466667;AGOSTO-SETEMBRO-OUTUBRO
CHAVAL;-41,233333;-3,033333;SETEMBRO-OUTUBRO-NOVEMBRO
ARACATI;-37,766667;-4,566667;SETEMBRO-OUTUBRO-NOVEMBRO
JAGUARUANA;-37,783333;-4,833333;SETEMBRO-OUTUBRO-NOVEMBRO
PALHANO;-37,966667;-4,75;SETEMBRO-OUTUBRO-NOVEMBRO
RUSSAS;-37,966667;-4,933333;SETEMBRO-OUTUBRO-NOVEMBRO
ICAPUI;-37,366667;-4,7;SETEMBRO-OUTUBRO-NOVEMBRO
ARAÃOIABA;-38,8;-4,366667;SETEMBRO-OUTUBRO-NOVEMBRO
BATURIT+;-38,883333;-4,333333;SETEMBRO-OUTUBRO-NOVEMBRO
BA+;-38,576111;-4,121667;AGOSTO-SETEMBRO-OUTUBRO
CHOROZINHO;-38,496944;-4,302222;SETEMBRO-OUTUBRO-NOVEMBRO
CRISTAIS;-38,361111;-4,500556;SETEMBRO-OUTUBRO-NOVEMBRO
GUAIUBA;-38,725833;-4,153889;SETEMBRO-OUTUBRO-NOVEMBRO
ITAPEBUSSU;-38,933333;-4,016667;SETEMBRO-OUTUBRO-NOVEMBRO
ITAPIUNA;-38,95;-4,583333;SETEMBRO-OUTUBRO-NOVEMBRO
